metric,value
Total tokens,31007
Baseline strict parsed,15848
Baseline strict percentage,51.11
Ablated strict parsed,12038
Ablated strict percentage,38.82
Absolute percentage-point drop,12.29
Relative drop (%),24.04
Removed one-character roots,d; k; l; o; p; r; s; t
