token_index,folio,section,eva_token,prefix,root,suffix,latin_value,interpretation,exploratory_recognized,strict_parsed,failure_reason
1,f1r,Botanical,fachys,,,,,,Yes,No,not_full_token_parse
2,f1r,Botanical,ykal,,,,,,Yes,No,not_full_token_parse
3,f1r,Botanical,ar,,ar,,radius,수선(radius),Yes,Yes,
4,f1r,Botanical,ataiin,,,,,,Yes,No,not_full_token_parse
5,f1r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
6,f1r,Botanical,shory,,shor,y,suber,코르크(suber) + adjective,Yes,Yes,
7,f1r,Botanical,res,,,,,,Yes,No,not_full_token_parse
8,f1r,Botanical,y,,,,,,No,No,not_full_token_parse
9,f1r,Botanical,kor,,,,,,Yes,No,not_full_token_parse
10,f1r,Botanical,sholdy,,shol,dy,suber,코르크(suber) + of (de),Yes,Yes,
11,f1r,Botanical,sory,,sor,y,succus-,수액감소(succus-) + adjective,Yes,Yes,
12,f1r,Botanical,ckhar,,,,,,Yes,No,not_full_token_parse
13,f1r,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
14,f1r,Botanical,y,,,,,,No,No,not_full_token_parse
15,f1r,Botanical,kair,,,,,,Yes,No,not_full_token_parse
16,f1r,Botanical,chtaiin,,,,,,Yes,No,not_full_token_parse
17,f1r,Botanical,shar,,,,,,Yes,No,not_full_token_parse
18,f1r,Botanical,ase,,,,,,Yes,No,not_full_token_parse
19,f1r,Botanical,cthar,,cthar,,durus,단단건조(durus),Yes,Yes,
20,f1r,Botanical,cthar,,cthar,,durus,단단건조(durus),Yes,Yes,
21,f1r,Botanical,dan,,,,,,Yes,No,not_full_token_parse
22,f1r,Botanical,syaiir,,,,,,Yes,No,not_full_token_parse
23,f1r,Botanical,sheky,,,,,,Yes,No,not_full_token_parse
24,f1r,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
25,f1r,Botanical,ykaiin,,,,,,Yes,No,not_full_token_parse
26,f1r,Botanical,shod,,,,,,Yes,No,not_full_token_parse
27,f1r,Botanical,cthoary,,,,,,Yes,No,not_full_token_parse
28,f1r,Botanical,cthes,,,,,,Yes,No,not_full_token_parse
29,f1r,Botanical,daraiin,,,,,,Yes,No,not_full_token_parse
30,f1r,Botanical,sy,,s,y,est,이다(est) + adjective,Yes,Yes,
31,f1r,Botanical,soiin,,,,,,Yes,No,not_full_token_parse
32,f1r,Botanical,oteey,,ot,eey,exterior,표면(exterior) + of (emphatic),Yes,Yes,
33,f1r,Botanical,oteo,,oteo,,exterior (seasonal),외층(계절)(exterior (seasonal)),Yes,Yes,
34,f1r,Botanical,roloty,,,,,,Yes,No,not_full_token_parse
35,f1r,Botanical,cthiar,,,,,,Yes,No,not_full_token_parse
36,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
37,f1r,Botanical,okaiin,,,,,,Yes,No,not_full_token_parse
38,f1r,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
39,f1r,Botanical,okan,,,,,,Yes,No,not_full_token_parse
40,f1r,Botanical,sair,,,,,,Yes,No,not_full_token_parse
41,f1r,Botanical,y,,,,,,No,No,not_full_token_parse
42,f1r,Botanical,chear,,ch,ear,cortex,수피(cortex) + +radius (emphatic),Yes,Yes,
43,f1r,Botanical,cthaiin,,,,,,Yes,No,not_full_token_parse
44,f1r,Botanical,cphar,,,,,,Yes,No,not_full_token_parse
45,f1r,Botanical,cfhaiin,,,,,,Yes,No,not_full_token_parse
46,f1r,Botanical,ydaraishy,,,,,,Yes,No,not_full_token_parse
47,f1r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
48,f1r,Botanical,cphoy,,,,,,Yes,No,not_full_token_parse
49,f1r,Botanical,oydar,,,,,,Yes,No,not_full_token_parse
50,f1r,Botanical,sh,,sh,,suber,코르크(suber),Yes,Yes,
51,f1r,Botanical,s,,s,,est,이다(est),Yes,Yes,
52,f1r,Botanical,cfhoaiin,,,,,,Yes,No,not_full_token_parse
53,f1r,Botanical,shodary,,,,,,Yes,No,not_full_token_parse
54,f1r,Botanical,yshey,y,sh,ey,suber,[지시(그-)] + 코르크(suber) + from/at,Yes,Yes,
55,f1r,Botanical,shody,,sh,ody,suber,코르크(suber) + -ward/direction,Yes,Yes,
56,f1r,Botanical,okchoy,,,,,,Yes,No,not_full_token_parse
57,f1r,Botanical,otchol,,,,,,Yes,No,not_full_token_parse
58,f1r,Botanical,chocthy,,,,,,Yes,No,not_full_token_parse
59,f1r,Botanical,os,,,,,,Yes,No,not_full_token_parse
60,f1r,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
61,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
62,f1r,Botanical,chor,,chor,,cortex,수피(cortex),Yes,Yes,
63,f1r,Botanical,kos,,,,,,Yes,No,not_full_token_parse
64,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
65,f1r,Botanical,shos,,,,,,Yes,No,not_full_token_parse
66,f1r,Botanical,cfhol,,,,,,Yes,No,not_full_token_parse
67,f1r,Botanical,shody,,sh,ody,suber,코르크(suber) + -ward/direction,Yes,Yes,
68,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
69,f1r,Botanical,os,,,,,,Yes,No,not_full_token_parse
70,f1r,Botanical,teody,,,,,,Yes,No,not_full_token_parse
71,f1r,Botanical,cphesaiin,,,,,,Yes,No,not_full_token_parse
72,f1r,Botanical,ols,,,,,,Yes,No,not_full_token_parse
73,f1r,Botanical,cphey,,,,,,Yes,No,not_full_token_parse
74,f1r,Botanical,ytain,,,,,,Yes,No,not_full_token_parse
75,f1r,Botanical,shoshy,,,,,,Yes,No,not_full_token_parse
76,f1r,Botanical,cphodal,,,,,,Yes,No,not_full_token_parse
77,f1r,Botanical,es,,,,,,Yes,No,not_full_token_parse
78,f1r,Botanical,oksho,,,,,,Yes,No,not_full_token_parse
79,f1r,Botanical,kshoy,,,,,,Yes,No,not_full_token_parse
80,f1r,Botanical,otairin,,,,,,Yes,No,not_full_token_parse
81,f1r,Botanical,oteol,,ot,eol,exterior,표면(exterior) + +lignum,Yes,Yes,
82,f1r,Botanical,okan,,,,,,Yes,No,not_full_token_parse
83,f1r,Botanical,shodain,,,,,,Yes,No,not_full_token_parse
84,f1r,Botanical,sckhey,,,,,,Yes,No,not_full_token_parse
85,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
86,f1r,Botanical,shoy,,,,,,Yes,No,not_full_token_parse
87,f1r,Botanical,ckhey,,,,,,Yes,No,not_full_token_parse
88,f1r,Botanical,kodaiin,,k,odaiin,coquitur,달임(coquitur) + scent+ring,Yes,Yes,
89,f1r,Botanical,cphy,,,,,,Yes,No,not_full_token_parse
90,f1r,Botanical,cphodaiils,,,,,,Yes,No,not_full_token_parse
91,f1r,Botanical,cthey,,,,,,Yes,No,not_full_token_parse
92,f1r,Botanical,sho,,,,,,Yes,No,not_full_token_parse
93,f1r,Botanical,oldain,,,,,,Yes,No,not_full_token_parse
94,f1r,Botanical,d,,d,,de,~의(de),Yes,Yes,
95,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
96,f1r,Botanical,oiin,,o,iin,aut,또는(aut) + ring-type,Yes,Yes,
97,f1r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
98,f1r,Botanical,odaiin,,,,,,Yes,No,not_full_token_parse
99,f1r,Botanical,chodain,,,,,,Yes,No,not_full_token_parse
100,f1r,Botanical,chdy,,ch,dy,cortex,수피(cortex) + of (de),Yes,Yes,
101,f1r,Botanical,okin,,,,,,Yes,No,not_full_token_parse
102,f1r,Botanical,dn,,,,,,Yes,No,not_full_token_parse
103,f1r,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
104,f1r,Botanical,kod,,,,,,Yes,No,not_full_token_parse
105,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
106,f1r,Botanical,shckhey,,,,,,Yes,No,not_full_token_parse
107,f1r,Botanical,eo,,,,,,Yes,No,not_full_token_parse
108,f1r,Botanical,r,,r,,re-,역(re-),Yes,Yes,
109,f1r,Botanical,char,,char,,spina,가시(spina),Yes,Yes,
110,f1r,Botanical,shey,,shey,,humidus,수생/습(humidus),Yes,Yes,
111,f1r,Botanical,kol,,,,,,Yes,No,not_full_token_parse
112,f1r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
113,f1r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
114,f1r,Botanical,kor,,,,,,Yes,No,not_full_token_parse
115,f1r,Botanical,chal,,,,,,Yes,No,not_full_token_parse
116,f1r,Botanical,sho,,,,,,Yes,No,not_full_token_parse
117,f1r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
118,f1r,Botanical,shodan,,,,,,Yes,No,not_full_token_parse
119,f1r,Botanical,kshy,,,,,,Yes,No,not_full_token_parse
120,f1r,Botanical,kchy,,,,,,Yes,No,not_full_token_parse
121,f1r,Botanical,d,,d,,de,~의(de),Yes,Yes,
122,f1r,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
123,f1r,Botanical,chodaiin,,ch,odaiin,cortex,수피(cortex) + scent+ring,Yes,Yes,
124,f1r,Botanical,sho,,,,,,Yes,No,not_full_token_parse
125,f1r,Botanical,koeam,,,,,,Yes,No,not_full_token_parse
126,f1r,Botanical,ycho,y,cho,,cortex,[지시(그-)] + 수피(cortex),Yes,Yes,
127,f1r,Botanical,tchey,,,,,,Yes,No,not_full_token_parse
128,f1r,Botanical,chekain,,,,,,Yes,No,not_full_token_parse
129,f1r,Botanical,sheo,,sheo,,suber,코르크(suber),Yes,Yes,
130,f1r,Botanical,pshol,p,shol,,suber,[위해(pro)] + 코르크(suber),Yes,Yes,
131,f1r,Botanical,dydyd,,,,,,Yes,No,not_full_token_parse
132,f1r,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
133,f1r,Botanical,daiy,,,,,,Yes,No,not_full_token_parse
134,f1r,Botanical,yto,,,,,,Yes,No,not_full_token_parse
135,f1r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
136,f1r,Botanical,she,,she,,suber?,코르크?(suber?),Yes,Yes,
137,f1r,Botanical,kodshey,,,,,,Yes,No,not_full_token_parse
138,f1r,Botanical,cphealy,,,,,,Yes,No,not_full_token_parse
139,f1r,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
140,f1r,Botanical,ain,,ain,,annulus,나이테(annulus),Yes,Yes,
141,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
142,f1r,Botanical,ckhyds,,,,,,Yes,No,not_full_token_parse
143,f1r,Botanical,dchar,,,,,,Yes,No,not_full_token_parse
144,f1r,Botanical,shcthaiin,,,,,,Yes,No,not_full_token_parse
145,f1r,Botanical,okaiir,,,,,,Yes,No,not_full_token_parse
146,f1r,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
147,f1r,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
148,f1r,Botanical,tol,,tol,,totus,전체(totus),Yes,Yes,
149,f1r,Botanical,cthols,,,,,,Yes,No,not_full_token_parse
150,f1r,Botanical,dloo,,,,,,Yes,No,not_full_token_parse
151,f1r,Botanical,shok,,,,,,Yes,No,not_full_token_parse
152,f1r,Botanical,chor,,chor,,cortex,수피(cortex),Yes,Yes,
153,f1r,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
154,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
155,f1r,Botanical,ckhey,,,,,,Yes,No,not_full_token_parse
156,f1r,Botanical,otol,,otol,,pilus,선모(pilus),Yes,Yes,
157,f1r,Botanical,daiiin,,,,,,Yes,No,not_full_token_parse
158,f1r,Botanical,cpho,,,,,,Yes,No,not_full_token_parse
159,f1r,Botanical,shaiin,,,,,,Yes,No,not_full_token_parse
160,f1r,Botanical,shokcheey,,,,,,Yes,No,not_full_token_parse
161,f1r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
162,f1r,Botanical,tshodeesy,,,,,,Yes,No,not_full_token_parse
163,f1r,Botanical,shey,,shey,,humidus,수생/습(humidus),Yes,Yes,
164,f1r,Botanical,pydeey,,,,,,Yes,No,not_full_token_parse
165,f1r,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
166,f1r,Botanical,r,,r,,re-,역(re-),Yes,Yes,
167,f1r,Botanical,o,,o,,aut,또는(aut),Yes,Yes,
168,f1r,Botanical,d,,d,,de,~의(de),Yes,Yes,
169,f1r,Botanical,doin,,,,,,Yes,No,not_full_token_parse
170,f1r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
171,f1r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
172,f1r,Botanical,cthal,,,,,,Yes,No,not_full_token_parse
173,f1r,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
174,f1r,Botanical,shear,,sh,ear,suber,코르크(suber) + +radius (emphatic),Yes,Yes,
175,f1r,Botanical,kaiin,,,,,,Yes,No,not_full_token_parse
176,f1r,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
177,f1r,Botanical,shey,,shey,,humidus,수생/습(humidus),Yes,Yes,
178,f1r,Botanical,cthar,,cthar,,durus,단단건조(durus),Yes,Yes,
179,f1r,Botanical,cho,,cho,,cortex,수피(cortex),Yes,Yes,
180,f1r,Botanical,o,,o,,aut,또는(aut),Yes,Yes,
181,f1r,Botanical,kaiin,,,,,,Yes,No,not_full_token_parse
182,f1r,Botanical,shoaiin,,,,,,Yes,No,not_full_token_parse
183,f1r,Botanical,okol,,okol,,exterior,외층(exterior),Yes,Yes,
184,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
185,f1r,Botanical,far,,,,,,Yes,No,not_full_token_parse
186,f1r,Botanical,cthol,,,,,,Yes,No,not_full_token_parse
187,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
188,f1r,Botanical,ctholdar,,,,,,Yes,No,not_full_token_parse
189,f1r,Botanical,ycheey,y,ch,eey,cortex,[지시(그-)] + 수피(cortex) + of (emphatic),Yes,Yes,
190,f1r,Botanical,okeey,,ok,eey,exterior,외층(exterior) + of (emphatic),Yes,Yes,
191,f1r,Botanical,oky,,ok,y,exterior,외층(exterior) + adjective,Yes,Yes,
192,f1r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
193,f1r,Botanical,okchey,,,,,,Yes,No,not_full_token_parse
194,f1r,Botanical,kokaiin,,,,,,Yes,No,not_full_token_parse
195,f1r,Botanical,ochol,,,,,,Yes,No,not_full_token_parse
196,f1r,Botanical,kdchy,,,,,,Yes,No,not_full_token_parse
197,f1r,Botanical,dal,,dal,,medulla,수髓(medulla),Yes,Yes,
198,f1r,Botanical,dcheo,,,,,,Yes,No,not_full_token_parse
199,f1r,Botanical,shody,,sh,ody,suber,코르크(suber) + -ward/direction,Yes,Yes,
200,f1r,Botanical,koshey,,,,,,Yes,No,not_full_token_parse
201,f1r,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
202,f1r,Botanical,ok,,ok,,exterior,외층(exterior),Yes,Yes,
203,f1r,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
204,f1r,Botanical,keey,,k,eey,coquitur,달임(coquitur) + of (emphatic),Yes,Yes,
205,f1r,Botanical,keey,,k,eey,coquitur,달임(coquitur) + of (emphatic),Yes,Yes,
206,f1r,Botanical,dal,,dal,,medulla,수髓(medulla),Yes,Yes,
207,f1r,Botanical,chtor,,,,,,Yes,No,not_full_token_parse
208,f1r,Botanical,eo,,,,,,Yes,No,not_full_token_parse
209,f1r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
210,f1r,Botanical,chok,,,,,,Yes,No,not_full_token_parse
211,f1r,Botanical,choty,,,,,,Yes,No,not_full_token_parse
212,f1r,Botanical,chotey,,,,,,Yes,No,not_full_token_parse
213,f1r,Botanical,dchaiin,,,,,,Yes,No,not_full_token_parse
214,f1r,Botanical,d,,d,,de,~의(de),Yes,Yes,
215,f1r,Botanical,r,,r,,re-,역(re-),Yes,Yes,
216,f1r,Botanical,g,,,,,,No,No,not_full_token_parse
217,f1v,Botanical,kchsy,,,,,,Yes,No,not_full_token_parse
218,f1v,Botanical,chydaiin,,,,,,Yes,No,not_full_token_parse
219,f1v,Botanical,ol,,ol,,lignum,목질(lignum),Yes,Yes,
220,f1v,Botanical,l,,l,,il-,관사(il-),Yes,Yes,
221,f1v,Botanical,tchey,,,,,,Yes,No,not_full_token_parse
222,f1v,Botanical,char,,char,,spina,가시(spina),Yes,Yes,
223,f1v,Botanical,cfhar,,,,,,Yes,No,not_full_token_parse
224,f1v,Botanical,am,,am,,[verb],[처리]([verb]),Yes,Yes,
225,f1v,Botanical,yteey,y,t,eey,tunica,[지시(그-)] + 막/층(tunica) + of (emphatic),Yes,Yes,
226,f1v,Botanical,char,,char,,spina,가시(spina),Yes,Yes,
227,f1v,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
228,f1v,Botanical,ochy,,,,,,Yes,No,not_full_token_parse
229,f1v,Botanical,lkody,l,k,ody,coquitur,[관사(il-)] + 달임(coquitur) + -ward/direction,Yes,Yes,
230,f1v,Botanical,okodar,,,,,,Yes,No,not_full_token_parse
231,f1v,Botanical,chody,,ch,ody,cortex,수피(cortex) + -ward/direction,Yes,Yes,
232,f1v,Botanical,da,,,,,,Yes,No,not_full_token_parse
233,f1v,Botanical,ckhy,,ckhy,,nocumentum,유해성(nocumentum),Yes,Yes,
234,f1v,Botanical,ckhockhy,,,,,,Yes,No,not_full_token_parse
235,f1v,Botanical,shy,,sh,y,suber,코르크(suber) + adjective,Yes,Yes,
236,f1v,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
237,f1v,Botanical,kotchody,,,,,,Yes,No,not_full_token_parse
238,f1v,Botanical,dal,,dal,,medulla,수髓(medulla),Yes,Yes,
239,f1v,Botanical,dol,,dol,,medulla,수髓(medulla),Yes,Yes,
240,f1v,Botanical,chokeo,,,,,,Yes,No,not_full_token_parse
241,f1v,Botanical,dair,,dair,,duramen,심재(duramen),Yes,Yes,
242,f1v,Botanical,dam,,dam,,[verb],[처리]([verb]),Yes,Yes,
243,f1v,Botanical,chokody,,,,,,Yes,No,not_full_token_parse
244,f1v,Botanical,potoy,,,,,,Yes,No,not_full_token_parse
245,f1v,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
246,f1v,Botanical,dair,,dair,,duramen,심재(duramen),Yes,Yes,
247,f1v,Botanical,cphoal,,,,,,Yes,No,not_full_token_parse
248,f1v,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
249,f1v,Botanical,tody,,t,ody,tunica,막/층(tunica) + -ward/direction,Yes,Yes,
250,f1v,Botanical,otoaiin,,,,,,Yes,No,not_full_token_parse
251,f1v,Botanical,shoshy,,,,,,Yes,No,not_full_token_parse
252,f1v,Botanical,choky,,,,,,Yes,No,not_full_token_parse
253,f1v,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
254,f1v,Botanical,ctho,,,,,,Yes,No,not_full_token_parse
255,f1v,Botanical,l,,l,,il-,관사(il-),Yes,Yes,
256,f1v,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
257,f1v,Botanical,okal,,,,,,Yes,No,not_full_token_parse
258,f1v,Botanical,chodo,,,,,,Yes,No,not_full_token_parse
259,f1v,Botanical,lol,l,ol,,lignum,[관사(il-)] + 목질(lignum),Yes,Yes,
260,f1v,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
261,f1v,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
262,f1v,Botanical,qo,,,,,,Yes,No,not_full_token_parse
263,f1v,Botanical,ol,,ol,,lignum,목질(lignum),Yes,Yes,
264,f1v,Botanical,choees,,,,,,Yes,No,not_full_token_parse
265,f1v,Botanical,cheol,,cheol,,cortex,수피류(cortex),Yes,Yes,
266,f1v,Botanical,dol,,dol,,medulla,수髓(medulla),Yes,Yes,
267,f1v,Botanical,cthey,,,,,,Yes,No,not_full_token_parse
268,f1v,Botanical,dol,,dol,,medulla,수髓(medulla),Yes,Yes,
269,f1v,Botanical,dolo,,,,,,Yes,No,not_full_token_parse
270,f1v,Botanical,ykol,,,,,,Yes,No,not_full_token_parse
271,f1v,Botanical,do,,,,,,Yes,No,not_full_token_parse
272,f1v,Botanical,lchiody,,,,,,Yes,No,not_full_token_parse
273,f1v,Botanical,okolshol,,,,,,Yes,No,not_full_token_parse
274,f1v,Botanical,kol,,,,,,Yes,No,not_full_token_parse
275,f1v,Botanical,kechy,,,,,,Yes,No,not_full_token_parse
276,f1v,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
277,f1v,Botanical,ky,,k,y,coquitur,달임(coquitur) + adjective,Yes,Yes,
278,f1v,Botanical,cthol,,,,,,Yes,No,not_full_token_parse
279,f1v,Botanical,chody,,ch,ody,cortex,수피(cortex) + -ward/direction,Yes,Yes,
280,f1v,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
281,f1v,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
282,f1v,Botanical,shor,,shor,,suber,코르크(suber),Yes,Yes,
283,f1v,Botanical,okol,,okol,,exterior,외층(exterior),Yes,Yes,
284,f1v,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
285,f1v,Botanical,dol,,dol,,medulla,수髓(medulla),Yes,Yes,
286,f1v,Botanical,ky,,k,y,coquitur,달임(coquitur) + adjective,Yes,Yes,
287,f1v,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
288,f1v,Botanical,dchor,,,,,,Yes,No,not_full_token_parse
289,f1v,Botanical,o,,o,,aut,또는(aut),Yes,Yes,
290,f1v,Botanical,tcho,,,,,,Yes,No,not_full_token_parse
291,f1v,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
292,f1v,Botanical,ody,,o,dy,aut,또는(aut) + of (de),Yes,Yes,
293,f1v,Botanical,taor,,,,,,Yes,No,not_full_token_parse
294,f1v,Botanical,chotchey,,,,,,Yes,No,not_full_token_parse
295,f1v,Botanical,dal,,dal,,medulla,수髓(medulla),Yes,Yes,
296,f1v,Botanical,chody,,ch,ody,cortex,수피(cortex) + -ward/direction,Yes,Yes,
297,f1v,Botanical,pol,p,ol,,lignum,[위해(pro)] + 목질(lignum),Yes,Yes,
298,f1v,Botanical,chodar,,,,,,Yes,No,not_full_token_parse
299,f2r,Botanical,kydainy,,,,,,Yes,No,not_full_token_parse
300,f2r,Botanical,ypchol,,,,,,Yes,No,not_full_token_parse
301,f2r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
302,f2r,Botanical,otchal,,,,,,Yes,No,not_full_token_parse
303,f2r,Botanical,ckholsy,,,,,,Yes,No,not_full_token_parse
304,f2r,Botanical,dorchory,,,,,,Yes,No,not_full_token_parse
305,f2r,Botanical,s,,s,,est,이다(est),Yes,Yes,
306,f2r,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
307,f2r,Botanical,qotaiin,,,,,,Yes,No,not_full_token_parse
308,f2r,Botanical,y,,,,,,No,No,not_full_token_parse
309,f2r,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
310,f2r,Botanical,ydy,y,d,y,de,[지시(그-)] + ~의(de) + adjective,Yes,Yes,
311,f2r,Botanical,aiidy,,,,,,Yes,No,not_full_token_parse
312,f2r,Botanical,dy,,dy,,de,~의(de),Yes,Yes,
313,f2r,Botanical,dals,,,,,,Yes,No,not_full_token_parse
314,f2r,Botanical,d,,d,,de,~의(de),Yes,Yes,
315,f2r,Botanical,otochor,,,,,,Yes,No,not_full_token_parse
316,f2r,Botanical,al,,al,,alburnum,변재(alburnum),Yes,Yes,
317,f2r,Botanical,dan,,,,,,Yes,No,not_full_token_parse
318,f2r,Botanical,dan,,,,,,Yes,No,not_full_token_parse
319,f2r,Botanical,saiin,,,,,,Yes,No,not_full_token_parse
320,f2r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
321,f2r,Botanical,d,,d,,de,~의(de),Yes,Yes,
322,f2r,Botanical,sor,,sor,,succus-,수액감소(succus-),Yes,Yes,
323,f2r,Botanical,dchy,,,,,,Yes,No,not_full_token_parse
324,f2r,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
325,f2r,Botanical,shor,,shor,,suber,코르크(suber),Yes,Yes,
326,f2r,Botanical,ckhy,,ckhy,,nocumentum,유해성(nocumentum),Yes,Yes,
327,f2r,Botanical,daiiny,,daiin,y,duramen,심재(duramen) + adjective,Yes,Yes,
328,f2r,Botanical,dan,,,,,,Yes,No,not_full_token_parse
329,f2r,Botanical,kydain,,,,,,Yes,No,not_full_token_parse
330,f2r,Botanical,shaiin,,,,,,Yes,No,not_full_token_parse
331,f2r,Botanical,qoy,,,,,,Yes,No,not_full_token_parse
332,f2r,Botanical,s,,s,,est,이다(est),Yes,Yes,
333,f2r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
334,f2r,Botanical,fodan,,,,,,Yes,No,not_full_token_parse
335,f2r,Botanical,olsheey,,,,,,Yes,No,not_full_token_parse
336,f2r,Botanical,daiildy,,,,,,Yes,No,not_full_token_parse
337,f2r,Botanical,dls,,,,,,Yes,No,not_full_token_parse
338,f2r,Botanical,sho,,,,,,Yes,No,not_full_token_parse
339,f2r,Botanical,kol,,,,,,Yes,No,not_full_token_parse
340,f2r,Botanical,sheey,,sheey,,humidus,수생/습(humidus),Yes,Yes,
341,f2r,Botanical,qokey,qo,k,ey,coquitur,[~의(quod/de)] + 달임(coquitur) + from/at,Yes,Yes,
342,f2r,Botanical,ykody,y,k,ody,coquitur,[지시(그-)] + 달임(coquitur) + -ward/direction,Yes,Yes,
343,f2r,Botanical,so,,,,,,Yes,No,not_full_token_parse
344,f2r,Botanical,yky,y,k,y,coquitur,[지시(그-)] + 달임(coquitur) + adjective,Yes,Yes,
345,f2r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
346,f2r,Botanical,daiisol,,,,,,Yes,No,not_full_token_parse
347,f2r,Botanical,qoky,qo,k,y,coquitur,[~의(quod/de)] + 달임(coquitur) + adjective,Yes,Yes,
348,f2r,Botanical,cholaiin,,,,,,Yes,No,not_full_token_parse
349,f2r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
350,f2r,Botanical,sheky,,,,,,Yes,No,not_full_token_parse
351,f2r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
352,f2r,Botanical,keol,,k,eol,coquitur,달임(coquitur) + +lignum,Yes,Yes,
353,f2r,Botanical,saiin,,,,,,Yes,No,not_full_token_parse
354,f2r,Botanical,eaiin,,,,,,Yes,No,not_full_token_parse
355,f2r,Botanical,ychain,,,,,,Yes,No,not_full_token_parse
356,f2r,Botanical,dal,,dal,,medulla,수髓(medulla),Yes,Yes,
357,f2r,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
358,f2r,Botanical,dalor,,,,,,Yes,No,not_full_token_parse
359,f2r,Botanical,shan,,,,,,Yes,No,not_full_token_parse
360,f2r,Botanical,dan,,,,,,Yes,No,not_full_token_parse
361,f2r,Botanical,sheey,,sheey,,humidus,수생/습(humidus),Yes,Yes,
362,f2r,Botanical,ckhor,,,,,,Yes,No,not_full_token_parse
363,f2r,Botanical,okol,,okol,,exterior,외층(exterior),Yes,Yes,
